Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0096633,2017-06-30,2017-06-30,,"Ginga Eiyuu Densetsu","Ginga Eiyuu Densetsu",https://www.imdb.com/title/tt0096633/,Série de TV,9.0,25,1988,"Animação, Ação, Drama, Ficção científica, Guerra",5791,1988-12-21,
2,tt1355642,2017-06-30,2017-06-30,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,Série de TV,9.1,24,2009,"Animação, Ação, Aventura, Comédia, Drama, Fantasia, Ficção científica",213675,2009-04-05,
3,tt0877057,2017-06-30,2017-06-30,,"Death Note","Death Note: Desu nôto",https://www.imdb.com/title/tt0877057/,Série de TV,8.9,24,2006,"Animação, Policial, Drama, Fantasia, Mistério, Suspense",409889,2006-10-03,
4,tt0213338,2017-06-30,2017-06-30,,"Cowboy Bebop","Kaubôi bibappu: Cowboy Bebop",https://www.imdb.com/title/tt0213338/,Série de TV,8.9,24,1998,"Animação, Ação, Aventura, Comédia, Drama, Ficção científica",149567,2001-11-05,
5,tt4508902,2017-06-30,2017-06-30,,"One Punch Man","One Punch Man: Wanpanman",https://www.imdb.com/title/tt4508902/,Série de TV,8.7,24,2015,"Animação, Ação, Comédia, Família, Fantasia, Ficção científica",196841,2015-10-05,
6,tt2098220,2017-06-30,2017-06-30,,"HUNTER×HUNTER","Hunter x Hunter",https://www.imdb.com/title/tt2098220/,Série de TV,9.0,24,2011,"Animação, Ação, Aventura, Comédia, Fantasia",154946,2011-10-02,
7,tt10233448,2019-08-31,2019-08-31,,"Vinland Saga","Vinland Saga",https://www.imdb.com/title/tt10233448/,Série de TV,8.8,24,2019,"Animação, Ação, Aventura, Drama, História",90699,2022-07-07,
8,tt0362344,2017-06-30,2017-06-30,,"Ginga: Nagareboshi Gin","Ginga: Nagareboshi Gin",https://www.imdb.com/title/tt0362344/,Série de TV,8.8,25,1986,"Animação, Ação, Aventura, Drama, Terror, Guerra",3281,1986-04-07,
9,tt3443522,2017-08-14,2017-08-14,,"Mushishi Zoku Shou","Mushishi Zoku Shou",https://www.imdb.com/title/tt3443522/,Série de TV,8.8,24,2014,"Animação, Drama, Fantasia, Mistério, Suspense",3376,2014-04-04,
10,tt9335498,2019-08-08,2019-08-08,,"Demon Slayer: Kimetsu no Yaiba","Kimetsu no Yaiba",https://www.imdb.com/title/tt9335498/,Série de TV,8.6,24,2019,"Animação, Ação, Aventura, Fantasia, Suspense",176655,2019-04-06,
11,tt2560140,2017-06-30,2017-06-30,,"Ataque dos Titãs","Shingeki no Kyojin",https://www.imdb.com/title/tt2560140/,Série de TV,9.1,24,2013,"Animação, Ação, Aventura, Drama, Fantasia, Terror",579590,2013-04-07,
12,tt1910272,2017-06-30,2017-06-30,,"Steins;Gate","Steins;Gate",https://www.imdb.com/title/tt1910272/,Série de TV,8.8,24,2011,"Animação, Comédia, Drama, Mistério, Romance, Ficção científica, Suspense",79879,2011-04-06,
13,tt8788458,2019-03-29,2019-03-29,,"The Promised Neverland","Yakusoku no Neverland",https://www.imdb.com/title/tt8788458/,Série de TV,8.2,23,2019,"Animação, Ação, Aventura, Drama, Fantasia, Terror, Mistério, Ficção científica, Suspense",51002,2019-01-09,
14,tt0481256,2017-06-30,2017-06-30,,"Hajime no Ippo","Hajime no Ippo",https://www.imdb.com/title/tt0481256/,Série de TV,8.8,30,2000,"Animação, Ação, Comédia, Esportes",12731,2000-03-27,
15,tt0121220,2017-06-30,2017-06-30,,"Dragon Ball Z","Dragon Ball Z: Doragon bôru zetto",https://www.imdb.com/title/tt0121220/,Série de TV,8.8,24,1989,"Animação, Ação, Aventura, Comédia, Drama, Fantasia, Ficção científica",93655,1989-04-26,
16,tt0214341,2017-06-30,2017-06-30,,"Dragon Ball Z","Dragon Ball Z",https://www.imdb.com/title/tt0214341/,Série de TV,8.8,24,1996,"Animação, Ação, Aventura, Fantasia, Ficção científica, Suspense",157892,1996-08-19,
17,tt0388629,2017-06-30,2017-06-30,,"One Piece","One Piece: Wan pîsu",https://www.imdb.com/title/tt0388629/,Série de TV,9.0,24,1999,"Animação, Ação, Aventura, Comédia, Drama, Fantasia",279153,1999-10-20,
18,tt0318871,2017-06-30,2017-06-30,,"Berserk","Kenpuu Denki Berserk",https://www.imdb.com/title/tt0318871/,Série de TV,8.7,23,1997,"Animação, Ação, Aventura, Drama, Fantasia, Terror, Romance",62131,1997-10-07,
19,tt0994314,2017-06-30,2017-06-30,,"Code Geass: Lelouch of the Rebellion","Kôdo Giasu: Hangyaku no Rurûshu",https://www.imdb.com/title/tt0994314/,Série de TV,8.7,24,2006,"Animação, Ação, Drama, Fantasia, Ficção científica, Suspense",87548,2006-10-05,
20,tt0203082,2017-06-30,2017-06-30,,"Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen","Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen",https://www.imdb.com/title/tt0203082/,Minissérie de televisão,8.6,30,1999,"Animação, Ação, Aventura, Drama, História, Romance",17072,1999-02-20,
21,tt0426719,2017-06-30,2017-06-30,,"Hunter x Hunter","Hunter x Hunter",https://www.imdb.com/title/tt0426719/,Série de TV,8.6,23,1999,"Animação, Ação, Aventura, Comédia, Fantasia",10514,2005-07-31,
22,tt0435031,2018-05-27,2018-05-27,,"Hunter X Hunter OVA","Hunter X Hunter OVA",https://www.imdb.com/title/tt0435031/,Minissérie de televisão,8.6,24,2002,"Animação, Ação, Aventura, Comédia, Drama, Fantasia, Suspense",2270,2006-03-15,
23,tt3514596,2018-09-07,2018-09-07,,"Hajime no Ippo: Rising","Hajime No Ippo: Rising",https://www.imdb.com/title/tt3514596/,Série de TV,8.7,20,2013,"Animação, Ação, Comédia, Esportes",3358,2013-10-05,
24,tt0965547,2017-06-30,2017-06-30,,"Slam Dunk","Slam Dunk: Suramu danku",https://www.imdb.com/title/tt0965547/,Série de TV,8.7,22,1993,"Animação, Comédia, Drama, Esportes",8163,1993-10-16,
25,tt0077013,2017-06-30,2017-06-30,,"Conan - O Rapaz do Futuro","Mirai shônen Konan",https://www.imdb.com/title/tt0077013/,Série de TV,8.8,24,1978,"Animação, Aventura, Comédia, Drama, Família, Fantasia, Ficção científica",5271,1978-04-04,
